weight,opponent_weight,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,wrestler,opponent,year
118,118,Robbie Sordi,8,Brian Nissen,6,r32,,,DEC,Robbie Sordi,12,Fresno State,,Oregon State,Robbie Sordi,Brian Nissen,1993
118,118,Matt Hanutke,7,Pete Rinella,5,r32,,,DEC,Matt Hanutke,5,Wisconsin,,Bloomsburg,Matt Hanutke,Pete Rinella,1993
118,118,Eric Akin,-1,Tom Manning,-2,r32,,4:58,F,Eric Akin,4,Iowa State,,Kent State,Eric Akin,Tom Manning,1993
118,118,David Barden,8,Michael Grubbs,12,r32,,,DEC,Michael Grubbs,,Tennessee-Chattanooga,,Cal State-Fullerton,David Barden,Michael Grubbs,1993
118,118,David Land,14,Scott Kindig,3,r32,,,MD,David Land,8,Maryland,,Millersville,David Land,Scott Kindig,1993
118,118,John Buxton,10,Gary Baker,2,r32,,,MD,John Buxton,9,Nebraska,,Pennsylvania,John Buxton,Gary Baker,1993
118,118,Chad Zaputil,-1,Mike Mulrooney,-2,r32,,6:35,F,Chad Zaputil,1,Iowa,,Brown,Chad Zaputil,Mike Mulrooney,1993
118,118,Jeff Mirabella,6,Joey Dansby,10,r32,,,DEC,Joey Dansby,,Northwestern,,Cal Poly-SLO,Jeff Mirabella,Joey Dansby,1993
118,118,Donnell Rawls,22,Shawn Conyers,7,r32,,6:52,TF,Donnell Rawls,7,Appalachian State,,Ohio State,Donnell Rawls,Shawn Conyers,1993
118,118,Brad Bruhl,5,Kevin Roberts,7,r32,,,DEC,Kevin Roberts,10,Northern Iowa,,Oregon,Brad Bruhl,Kevin Roberts,1993
118,118,Lou Rosselli,11,Gabe Zirkelbach,5,r32,,,DEC,Lou Rosselli,2,Edinboro,,Purdue,Lou Rosselli,Gabe Zirkelbach,1993
118,118,John Bove,5,Mike Renella,3,r32,,,DEC,John Bove,,Cornell,,Illinois State,John Bove,Mike Renella,1993
118,118,Brian Slates,2,Tom Sinacore,3,r32,,,DEC,Tom Sinacore,,Lock Haven,,Old Dominion,Brian Slates,Tom Sinacore,1993
118,118,Dantae Smith,7,Sam Henson,20,r32,,,MD,Sam Henson,,Morgan State,3,Clemson,Dantae Smith,Sam Henson,1993
118,118,Shawn Nelson,14,Anthony Gencarelli,1,r32,,,MD,Shawn Nelson,6,Penn State,,Seton Hall,Shawn Nelson,Anthony Gencarelli,1993
118,118,Eric Ivins,2,Scott Gonyo,3,r32,,,DEC,Scott Gonyo,,Oklahoma,11,Drake,Eric Ivins,Scott Gonyo,1993
118,118,Robbie Sordi,-2,Matt Hanutke,-1,r16,,5:51,F,Matt Hanutke,12,Fresno State,5,Wisconsin,Robbie Sordi,Matt Hanutke,1993
