weight,opponent_weight,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,wrestler,opponent,year
118,118,Eric Akin,6,Michael Grubbs,3,r16,,,DEC,Eric Akin,4,Iowa State,,Cal State-Fullerton,Eric Akin,Michael Grubbs,1993
118,118,David Land,6,John Buxton,2,r16,,,DEC,David Land,8,Maryland,9,Nebraska,David Land,John Buxton,1993
118,118,Chad Zaputil,-1,Joey Dansby,-2,r16,,5:33,F,Chad Zaputil,1,Iowa,,Cal Poly-SLO,Chad Zaputil,Joey Dansby,1993
118,118,Donnell Rawls,4,Kevin Roberts,2,r16,1,,DEC,Donnell Rawls,7,Appalachian State,,Oregon,Donnell Rawls,Kevin Roberts,1993
118,118,Lou Rosselli,10,John Bove,1,r16,,,MD,Lou Rosselli,2,Edinboro,,Cornell,Lou Rosselli,John Bove,1993
118,118,Tom Sinacore,0,Sam Henson,17,r16,,3:22,TF,Sam Henson,,Old Dominion,3,Clemson,Tom Sinacore,Sam Henson,1993
118,118,Shawn Nelson,11,Scott Gonyo,6,r16,,,DEC,Shawn Nelson,6,Penn State,11,Drake,Shawn Nelson,Scott Gonyo,1993
118,118,Matt Hanutke,3,Eric Akin,4,r8,,,DEC,Eric Akin,5,Wisconsin,4,Iowa State,Matt Hanutke,Eric Akin,1993
118,118,David Land,11,Chad Zaputil,12,r8,,,DEC,Chad Zaputil,8,Maryland,1,Iowa,David Land,Chad Zaputil,1993
118,118,Donnell Rawls,3,Lou Rosselli,4,r8,,,DEC,Lou Rosselli,7,Appalachian State,2,Edinboro,Donnell Rawls,Lou Rosselli,1993
118,118,Sam Henson,6,Shawn Nelson,1,r8,,,DEC,Sam Henson,3,Clemson,6,Penn State,Sam Henson,Shawn Nelson,1993
118,118,Eric Akin,1,Chad Zaputil,2,r4,,,DEC,Chad Zaputil,4,Iowa State,1,Iowa,Eric Akin,Chad Zaputil,1993
118,118,Lou Rosselli,2,Sam Henson,3,r4,,,DEC,Sam Henson,2,Edinboro,3,Clemson,Lou Rosselli,Sam Henson,1993
118,118,Chad Zaputil,2,Sam Henson,3,m1,,,DEC,Sam Henson,1,Iowa,3,Clemson,Chad Zaputil,Sam Henson,1993
118,118,Pete Rinella,-2,Robbie Sordi,-1,c1,,5:59,F,Robbie Sordi,,Bloomsburg,12,Fresno State,Pete Rinella,Robbie Sordi,1993
118,118,Tom Manning,2,Michael Grubbs,7,c1,,,DEC,Michael Grubbs,,Kent State,,Cal State-Fullerton,Tom Manning,Michael Grubbs,1993
118,118,Scott Kindig,2,John Buxton,4,c1,,,DEC,John Buxton,,Millersville,9,Nebraska,Scott Kindig,John Buxton,1993
118,118,Mike Mulrooney,4,Joey Dansby,5,c1,,,DEC,Joey Dansby,,Brown,,Cal Poly-SLO,Mike Mulrooney,Joey Dansby,1993
118,118,Shawn Conyers,1,Kevin Roberts,6,c1,,,DEC,Kevin Roberts,,Ohio State,,Oregon,Shawn Conyers,Kevin Roberts,1993
118,118,Gabe Zirkelbach,3,John Bove,2,c1,,,DEC,Gabe Zirkelbach,,Purdue,,Cornell,Gabe Zirkelbach,John Bove,1993
118,118,Dantae Smith,6,Tom Sinacore,8,c1,1,,DEC,Tom Sinacore,,Morgan State,,Old Dominion,Dantae Smith,Tom Sinacore,1993
118,118,Anthony Gencarelli,8,Scott Gonyo,14,c1,,,DEC,Scott Gonyo,,Seton Hall,11,Drake,Anthony Gencarelli,Scott Gonyo,1993
118,118,Robbie Sordi,3,Michael Grubbs,4,c2,,,DEC,Michael Grubbs,12,Fresno State,,Cal State-Fullerton,Robbie Sordi,Michael Grubbs,1993
118,118,John Buxton,5,Joey Dansby,0,c2,,,DEC,John Buxton,9,Nebraska,,Cal Poly-SLO,John Buxton,Joey Dansby,1993
118,118,Kevin Roberts,7,Gabe Zirkelbach,11,c2,,,DEC,Gabe Zirkelbach,,Oregon,,Purdue,Kevin Roberts,Gabe Zirkelbach,1993
118,118,Tom Sinacore,-3,Scott Gonyo,-4,c2,,,DFT,Tom Sinacore,,Old Dominion,11,Drake,Tom Sinacore,Scott Gonyo,1993
118,118,Michael Grubbs,4,Shawn Nelson,3,br,,,DEC,Michael Grubbs,,Cal State-Fullerton,6,Penn State,Michael Grubbs,Shawn Nelson,1993
118,118,John Buxton,7,Donnell Rawls,5,br,,,DEC,John Buxton,9,Nebraska,7,Appalachian State,John Buxton,Donnell Rawls,1993
118,118,Gabe Zirkelbach,10,David Land,12,br,,,DEC,David Land,,Purdue,8,Maryland,Gabe Zirkelbach,David Land,1993
118,118,Tom Sinacore,5,Matt Hanutke,20,br,,6:00,TF,Matt Hanutke,,Old Dominion,5,Wisconsin,Tom Sinacore,Matt Hanutke,1993
118,118,Michael Grubbs,1,John Buxton,0,c4,,,DEC,Michael Grubbs,,Cal State-Fullerton,9,Nebraska,Michael Grubbs,John Buxton,1993
118,118,David Land,2,Matt Hanutke,6,c4,,,DEC,Matt Hanutke,8,Maryland,5,Wisconsin,David Land,Matt Hanutke,1993
118,118,Michael Grubbs,1,Eric Akin,3,cs,,,DEC,Eric Akin,,Cal State-Fullerton,4,Iowa State,Michael Grubbs,Eric Akin,1993
118,118,Matt Hanutke,1,Lou Rosselli,3,cs,,,DEC,Lou Rosselli,5,Wisconsin,2,Edinboro,Matt Hanutke,Lou Rosselli,1993
118,118,Lou Rosselli,5,Eric Akin,3,m3,,,DEC,Lou Rosselli,2,Edinboro,4,Iowa State,Lou Rosselli,Eric Akin,1993
118,118,Michael Grubbs,3,Matt Hanutke,2,m5,,,DEC,Michael Grubbs,,Cal State-Fullerton,5,Wisconsin,Michael Grubbs,Matt Hanutke,1993
118,118,David Land,-3,John Buxton,-4,m7,,,DFT,David Land,8,Maryland,9,Nebraska,David Land,John Buxton,1993
118,118,Chad Zaputil,-1,Jason Wartinger,-2,p1,,5:55,F,Chad Zaputil,1,Iowa,,Hofstra,Chad Zaputil,Jason Wartinger,1993
118,118,Mike Mulrooney,6,Jason Wartinger,2,cp1,,,DEC,Mike Mulrooney,,Brown,,Hofstra,Mike Mulrooney,Jason Wartinger,1993
126,126,David Hirsch,16,Erick Shaw,3,r32,,,MD,David Hirsch,5,Cornell,,Old Dominion,David Hirsch,Erick Shaw,1993
126,126,Jason Cluff,13,John Richey,5,r32,,,MD,Jason Cluff,12,Michigan,,Pittsburgh,Jason Cluff,John Richey,1993
126,126,Scott Eastmond,9,Frank Laccone,8,r32,,,DEC,Scott Eastmond,,Brigham Young,,Purdue,Scott Eastmond,Frank Laccone,1993
126,126,Adam DiSabato,25,Charlie Morgan,11,r32,,,MD,Adam DiSabato,4,Ohio State,,Morgan State,Adam DiSabato,Charlie Morgan,1993
126,126,Shawn Charles,17,Dane Campbell,5,r32,,,MD,Shawn Charles,1,Arizona State,,Miami Ohio,Shawn Charles,Dane Campbell,1993
126,126,Tom Koch,2,George Swann,3,r32,,,DEC,George Swann,,Lehigh,,Bucknell,Tom Koch,George Swann,1993
126,126,Tony Dong,6,Tim Harris,8,r32,,,DEC,Tim Harris,,Southwest Missouri,8,Minnesota,Tony Dong,Tim Harris,1993
126,126,Wade Rogers,3,Rick Williams,0,r32,,,DEC,Wade Rogers,,Seton Hall,9,Iowa State,Wade Rogers,Rick Williams,1993
126,126,Tony Purler,-1,Jared Ezzell,-2,r32,,2:14,F,Tony Purler,2,Nebraska,,North Carolina,Tony Purler,Jared Ezzell,1993
126,126,Matt Finacchio,7,Tad Yeager,10,r32,,,DEC,Tad Yeager,,Rider,,Northwestern,Matt Finacchio,Tad Yeager,1993
126,126,Troy Bouzakis,8,Matt Dernlan,0,r32,,,MD,Troy Bouzakis,7,Clemson,,Liberty,Troy Bouzakis,Matt Dernlan,1993
126,126,Shane Roselle,3,Brad Rozanski,9,r32,,,DEC,Brad Rozanski,,Cal State-Bakersfield,10,Bloomsburg,Shane Roselle,Brad Rozanski,1993
126,126,Sanshiro Abe,10,Mike Norton,4,r32,,,DEC,Sanshiro Abe,3,Penn State,,North Carolina State,Sanshiro Abe,Mike Norton,1993
126,126,Kevin Hogan,-2,Willie Carpenter,-1,r32,,2:12,F,Willie Carpenter,,Iowa,,Brown,Kevin Hogan,Willie Carpenter,1993
126,126,Shawn Harrison,-1,Alan Smith,-2,r32,,3:55,F,Shawn Harrison,6,Oklahoma,,Citadel,Shawn Harrison,Alan Smith,1993
126,126,Andy Showalter,2,Dave Nieradka,13,r32,,,MD,Dave Nieradka,,Northern Iowa,11,Oregon State,Andy Showalter,Dave Nieradka,1993
126,126,David Hirsch,2,Jason Cluff,4,r16,,,DEC,Jason Cluff,5,Cornell,12,Michigan,David Hirsch,Jason Cluff,1993
126,126,Scott Eastmond,5,Adam DiSabato,8,r16,,,DEC,Adam DiSabato,,Brigham Young,4,Ohio State,Scott Eastmond,Adam DiSabato,1993
126,126,Shawn Charles,13,George Swann,6,r16,,,DEC,Shawn Charles,1,Arizona State,,Bucknell,Shawn Charles,George Swann,1993
126,126,Tim Harris,8,Wade Rogers,5,r16,,,DEC,Tim Harris,8,Minnesota,,Seton Hall,Tim Harris,Wade Rogers,1993
126,126,Tony Purler,-1,Tad Yeager,-2,r16,,5:43,F,Tony Purler,2,Nebraska,,Northwestern,Tony Purler,Tad Yeager,1993
126,126,Troy Bouzakis,-1,Brad Rozanski,-2,r16,,6:50,F,Troy Bouzakis,7,Clemson,10,Bloomsburg,Troy Bouzakis,Brad Rozanski,1993
126,126,Sanshiro Abe,11,Willie Carpenter,6,r16,,,DEC,Sanshiro Abe,3,Penn State,,Brown,Sanshiro Abe,Willie Carpenter,1993
126,126,Shawn Harrison,5,Dave Nieradka,4,r16,,,DEC,Shawn Harrison,6,Oklahoma,11,Oregon State,Shawn Harrison,Dave Nieradka,1993
126,126,Jason Cluff,3,Adam DiSabato,6,r8,,,DEC,Adam DiSabato,12,Michigan,4,Ohio State,Jason Cluff,Adam DiSabato,1993
126,126,Shawn Charles,4,Tim Harris,1,r8,,,DEC,Shawn Charles,1,Arizona State,8,Minnesota,Shawn Charles,Tim Harris,1993
126,126,Tony Purler,-1,Brad Rozanski,-2,r8,,6:36,F,Tony Purler,2,Nebraska,10,Bloomsburg,Tony Purler,Brad Rozanski,1993
126,126,Sanshiro Abe,-3,Shawn Harrison,-4,r8,,,DFT,Sanshiro Abe,3,Penn State,6,Oklahoma,Sanshiro Abe,Shawn Harrison,1993
126,126,Adam DiSabato,3,Shawn Charles,5,r4,,,DEC,Shawn Charles,4,Ohio State,1,Arizona State,Adam DiSabato,Shawn Charles,1993
126,126,Tony Purler,3,Sanshiro Abe,0,r4,,,DEC,Tony Purler,2,Nebraska,3,Penn State,Tony Purler,Sanshiro Abe,1993
126,126,Shawn Charles,5,Tony Purler,7,m1,,,DEC,Tony Purler,1,Arizona State,2,Nebraska,Shawn Charles,Tony Purler,1993
126,126,John Richey,4,David Hirsch,11,c1,,,DEC,David Hirsch,,Pittsburgh,5,Cornell,John Richey,David Hirsch,1993
126,126,Charlie Morgan,9,Scott Eastmond,5,c1,,,DEC,Charlie Morgan,,Morgan State,,Brigham Young,Charlie Morgan,Scott Eastmond,1993
126,126,George Swann,0,Dane Campbell,4,c1,,,DEC,Dane Campbell,,Bucknell,,Miami Ohio,George Swann,Dane Campbell,1993
126,126,Tony Dong,2,Wade Rogers,14,c1,,,MD,Wade Rogers,,Southwest Missouri,,Seton Hall,Tony Dong,Wade Rogers,1993
126,126,Jared Ezzell,14,Tad Yeager,3,c1,,,MD,Jared Ezzell,,North Carolina,,Northwestern,Jared Ezzell,Tad Yeager,1993
126,126,Shane Roselle,11,Troy Bouzakis,3,c1,,,MD,Shane Roselle,,Cal State-Bakersfield,7,Clemson,Shane Roselle,Troy Bouzakis,1993
126,126,Mike Norton,-1,Willie Carpenter,-2,c1,,3:48,F,Mike Norton,,North Carolina State,,Brown,Mike Norton,Willie Carpenter,1993
126,126,Alan Smith,1,Dave Nieradka,8,c1,,,DEC,Dave Nieradka,,Citadel,11,Oregon State,Alan Smith,Dave Nieradka,1993
126,126,David Hirsch,9,Charlie Morgan,2,c2,,,DEC,David Hirsch,5,Cornell,,Morgan State,David Hirsch,Charlie Morgan,1993
126,126,Dane Campbell,14,Wade Rogers,6,c2,,,MD,Dane Campbell,,Miami Ohio,,Seton Hall,Dane Campbell,Wade Rogers,1993
126,126,Tad Yeager,4,Shane Roselle,5,c2,,,DEC,Shane Roselle,,Northwestern,,Cal State-Bakersfield,Tad Yeager,Shane Roselle,1993
126,126,Mike Norton,1,Dave Nieradka,2,c2,1,,DEC,Dave Nieradka,,North Carolina State,11,Oregon State,Mike Norton,Dave Nieradka,1993
126,126,David Hirsch,-3,Tim Harris,-4,br,,,DFT,David Hirsch,5,Cornell,8,Minnesota,David Hirsch,Tim Harris,1993
126,126,Dane Campbell,4,Brad Rozanski,3,br,,,DEC,Dane Campbell,,Miami Ohio,10,Bloomsburg,Dane Campbell,Brad Rozanski,1993
126,126,Shane Roselle,1,Shawn Harrison,,br,,,DEC,Shane Roselle,,Cal State-Bakersfield,6,Oklahoma,Shane Roselle,Shawn Harrison,1993
126,126,Dave Nieradka,3,Jason Cluff,2,br,,,DEC,Dave Nieradka,11,Oregon State,12,Michigan,Dave Nieradka,Jason Cluff,1993
126,126,David Hirsch,8,Dane Campbell,4,c4,,,DEC,David Hirsch,5,Cornell,,Miami Ohio,David Hirsch,Dane Campbell,1993
126,126,Tim Harris,4,Dave Nieradka,11,c4,,,DEC,Dave Nieradka,8,Minnesota,11,Oregon State,Tim Harris,Dave Nieradka,1993
126,126,David Hirsch,1,Adam DiSabato,3,cs,,,DEC,Adam DiSabato,5,Cornell,4,Ohio State,David Hirsch,Adam DiSabato,1993
126,126,Dave Nieradka,4,Sanshiro Abe,6,cs,1,,DEC,Sanshiro Abe,11,Oregon State,3,Penn State,Dave Nieradka,Sanshiro Abe,1993
126,126,Adam DiSabato,6,Sanshiro Abe,5,m3,1,,DEC,Adam DiSabato,4,Ohio State,8,Minnesota,Adam DiSabato,Sanshiro Abe,1993
126,126,David Hirsch,5,Dave Nieradka,3,m5,,,DEC,David Hirsch,5,Cornell,11,Oregon State,David Hirsch,Dave Nieradka,1993
126,126,Dane Campbell,3,Tim Harris,2,m7,,,DEC,Dane Campbell,,Miami Ohio,8,Minnesota,Dane Campbell,Tim Harris,1993
126,126,Matt Finacchio,10,Jeff Maes,5,p1,,,DEC,Matt Finacchio,,Rider,,Cal State-Fullerton,Matt Finacchio,Jeff Maes,1993
126,126,Tony Dong,6,Shawn Husick,5,cp1,1,,DEC,Tony Dong,,Southwest Missouri,,Lock Haven,Tony Dong,Shawn Husick,1993
134,134,Derek Mountsier,7,Eric Childs,4,r32,,,DEC,Derek Mountsier,12,Iowa State,,Rider,Derek Mountsier,Eric Childs,1993
134,134,Dunyasha Yetts,7,Dominic Boutain,0,r32,,,DEC,Dunyasha Yetts,5,Ohio State,,Cal State-Bakersfield,Dunyasha Yetts,Dominic Boutain,1993
134,134,Cory Sonnen,2,David Ross,4,r32,,,DEC,David Ross,,Oregon,,Southwest Missouri,Cory Sonnen,David Ross,1993
134,134,Cary Kolat,-1,Ryan Hager,-2,r32,,6:34,F,Cary Kolat,4,Penn State,,Oklahoma,Cary Kolat,Ryan Hager,1993
134,134,Frank Velazquez,-1,Willie Stravino,-2,r32,,5:55,F,Frank Velazquez,9,Nebraska,,George Mason,Frank Velazquez,Willie Stravino,1993
134,134,Ralph Tubello,3,Marco Sanchez,5,r32,1,,DEC,Marco Sanchez,,Hofstra,8,Arizona State,Ralph Tubello,Marco Sanchez,1993
134,134,Troy Steiner,17,Clayton Grice,0,r32,,4:45,TF,Troy Steiner,1,Iowa,,North Carolina State,Troy Steiner,Clayton Grice,1993
134,134,Victor Balmaceda,7,Terry Shinkle,5,r32,,,DEC,Victor Balmaceda,,Appalachian State,,Ohio University,Victor Balmaceda,Terry Shinkle,1993
134,134,T.J. Jaworsky,13,Erik Saunders,4,r32,,,MD,T.J. Jaworsky,2,North Carolina,,Seton Hall,T.J. Jaworsky,Erik Saunders,1993
134,134,Jody Jackson,12,Ron Pieper,8,r32,,,DEC,Jody Jackson,,Virginia,,Wisconsin,Jody Jackson,Ron Pieper,1993
134,134,John McCumber,14,Jimmy Aguirre,0,r32,,,MD,John McCumber,,Lehigh,10,Stanford,John McCumber,Jimmy Aguirre,1993
134,134,Dan Carcelli,7,Joe Block,9,r32,1,,DEC,Joe Block,7,Cleveland State,,Drake,Dan Carcelli,Joe Block,1993
134,134,Jay Manson,9,Alex Coriano,11,r32,,,DEC,Alex Coriano,11,California PA,,Purdue,Jay Manson,Alex Coriano,1993
134,134,Mark Fergeson,7,Scott Hassel,2,r32,,,DEC,Mark Fergeson,3,Cornell,,Northern Iowa,Mark Fergeson,Scott Hassel,1993
134,134,Tony Pariano,8,Mike Herceg,5,r32,,,DEC,Tony Pariano,,Northwestern,,Lock Haven,Tony Pariano,Mike Herceg,1993
134,134,Harold Zinkin,10,J.J. Fasnacht,2,r32,,,MD,Harold Zinkin,6,Fresno State,,Pittsburgh,Harold Zinkin,J.J. Fasnacht,1993
134,134,Derek Mountsier,5,Dunyasha Yetts,11,r16,,,DEC,Dunyasha Yetts,12,Iowa State,5,Ohio State,Derek Mountsier,Dunyasha Yetts,1993
134,134,David Ross,3,Cary Kolat,7,r16,,,DEC,Cary Kolat,,Southwest Missouri,4,Penn State,David Ross,Cary Kolat,1993
134,134,Frank Velazquez,7,Marco Sanchez,9,r16,,,DEC,Marco Sanchez,9,Nebraska,8,Arizona State,Frank Velazquez,Marco Sanchez,1993
134,134,Troy Steiner,15,Victor Balmaceda,0,r16,,5:58,TF,Troy Steiner,1,Iowa,,Appalachian State,Troy Steiner,Victor Balmaceda,1993
134,134,T.J. Jaworsky,16,Jody Jackson,5,r16,,,MD,T.J. Jaworsky,2,North Carolina,,Virginia,T.J. Jaworsky,Jody Jackson,1993
134,134,John McCumber,3,Joe Block,1,r16,,,DEC,John McCumber,,Lehigh,,Drake,John McCumber,Joe Block,1993
134,134,Alex Coriano,0,Harold Zinkin,15,r16,,5:40,TF,Harold Zinkin,,Purdue,6,Fresno State,Alex Coriano,Harold Zinkin,1993
134,134,Mark Fergeson,2,Tony Pariano,3,r16,,,DEC,Tony Pariano,3,Cornell,,Northwestern,Mark Fergeson,Tony Pariano,1993
134,134,Dunyasha Yetts,2,Cary Kolat,10,r8,,,MD,Cary Kolat,5,Ohio State,4,Penn State,Dunyasha Yetts,Cary Kolat,1993
134,134,Marco Sanchez,-4,Troy Steiner,-3,r8,,,DFT,Troy Steiner,8,Arizona State,1,Iowa,Marco Sanchez,Troy Steiner,1993
134,134,T.J. Jaworsky,7,John McCumber,5,r8,1,,DEC,T.J. Jaworsky,2,North Carolina,,Lehigh,T.J. Jaworsky,John McCumber,1993
134,134,Harold Zinkin,5,Tony Pariano,3,r8,1,,DEC,Harold Zinkin,6,Fresno State,,Northwestern,Harold Zinkin,Tony Pariano,1993
134,134,Cary Kolat,8,Troy Steiner,4,r4,,,DEC,Cary Kolat,4,Penn State,1,Iowa,Cary Kolat,Troy Steiner,1993
134,134,T.J. Jaworsky,11,Harold Zinkin,9,r4,,,DEC,T.J. Jaworsky,2,North Carolina,6,Fresno State,T.J. Jaworsky,Harold Zinkin,1993
134,134,Cary Kolat,4,T.J. Jaworsky,6,m1,,,DEC,T.J. Jaworsky,4,Penn State,2,North Carolina,Cary Kolat,T.J. Jaworsky,1993
134,134,Dominic Boutain,6,Derek Mountsier,3,c1,,,DEC,Dominic Boutain,,Cal State-Bakersfield,12,Iowa State,Dominic Boutain,Derek Mountsier,1993
134,134,Ryan Hager,10,David Ross,2,c1,,,MD,Ryan Hager,,Oklahoma,,Southwest Missouri,Ryan Hager,David Ross,1993
134,134,Ralph Tubello,-2,Frank Velazquez,-1,c1,,2:57,F,Frank Velazquez,,Hofstra,9,Nebraska,Ralph Tubello,Frank Velazquez,1993
134,134,Clayton Grice,7,Victor Balmaceda,5,c1,,,DEC,Clayton Grice,,North Carolina State,,Appalachian State,Clayton Grice,Victor Balmaceda,1993
134,134,Erik Saunders,14,Jody Jackson,8,c1,,,DEC,Erik Saunders,,Seton Hall,,Virginia,Erik Saunders,Jody Jackson,1993
134,134,Jimmy Aguirre,5,Joe Block,3,c1,,,DEC,Jimmy Aguirre,10,Stanford,,Drake,Jimmy Aguirre,Joe Block,1993
134,134,J.J. Fasnacht,8,Alex Coriano,3,c1,,,DEC,J.J. Fasnacht,,Pittsburgh,,Purdue,J.J. Fasnacht,Alex Coriano,1993
134,134,Mike Herceg,1,Mark Fergeson,11,c1,,,MD,Mark Fergeson,,Lock Haven,3,Cornell,Mike Herceg,Mark Fergeson,1993
134,134,Dominic Boutain,0,Ryan Hager,4,c2,,,DEC,Ryan Hager,,Cal State-Bakersfield,,Oklahoma,Dominic Boutain,Ryan Hager,1993
134,134,Frank Velazquez,12,Clayton Grice,11,c2,1,,DEC,Frank Velazquez,9,Nebraska,,North Carolina State,Frank Velazquez,Clayton Grice,1993
134,134,Erik Saunders,11,Jimmy Aguirre,3,c2,,,MD,Erik Saunders,,Seton Hall,10,Stanford,Erik Saunders,Jimmy Aguirre,1993
134,134,J.J. Fasnacht,1,Mark Fergeson,9,c2,,,MD,Mark Fergeson,,Pittsburgh,3,Cornell,J.J. Fasnacht,Mark Fergeson,1993
134,134,Ryan Hager,5,Tony Pariano,1,br,1,,DEC,Ryan Hager,,Oklahoma,,Northwestern,Ryan Hager,Tony Pariano,1993
134,134,Frank Velazquez,9,John McCumber,4,br,,,DEC,Frank Velazquez,9,Nebraska,,Lehigh,Frank Velazquez,John McCumber,1993
134,134,Erik Saunders,1,Marco Sanchez,3,br,,,DEC,Marco Sanchez,,Seton Hall,8,Arizona State,Erik Saunders,Marco Sanchez,1993
134,134,Mark Fergeson,3,Dunyasha Yetts,2,br,,,DEC,Mark Fergeson,3,Cornell,5,Ohio State,Mark Fergeson,Dunyasha Yetts,1993
134,134,Ryan Hager,5,Frank Velazquez,3,c4,,,DEC,Ryan Hager,,Oklahoma,9,Nebraska,Ryan Hager,Frank Velazquez,1993
134,134,Marco Sanchez,-4,Mark Fergeson,-3,c4,,,DFT,Mark Fergeson,8,Arizona State,3,Cornell,Marco Sanchez,Mark Fergeson,1993
134,134,Ryan Hager,-2,Troy Steiner,-1,cs,,0:52,F,Troy Steiner,,Oklahoma,1,Iowa,Ryan Hager,Troy Steiner,1993
134,134,Mark Fergeson,3,Harold Zinkin,1,cs,,,DEC,Mark Fergeson,3,Cornell,6,Fresno State,Mark Fergeson,Harold Zinkin,1993
134,134,Troy Steiner,8,Mark Fergeson,4,m3,,,DEC,Troy Steiner,1,Iowa,3,Cornell,Troy Steiner,Mark Fergeson,1993
134,134,Harold Zinkin,4,Ryan Hager,3,m5,,,DEC,Harold Zinkin,6,Fresno State,,Oklahoma,Harold Zinkin,Ryan Hager,1993
134,134,Frank Velazquez,-3,Marco Sanchez,-4,m7,,,DFT,Frank Velazquez,9,Nebraska,8,Arizona State,Frank Velazquez,Marco Sanchez,1993
142,142,Nate Hartle,2,Tom Barley,6,r32,,,DEC,Tom Barley,,Northern Iowa,12,Millersville,Nate Hartle,Tom Barley,1993
142,142,Matt Blair,9,Lincoln McIlravy,24,r32,,5:31,TF,Lincoln McIlravy,,West Virginia,5,Iowa,Matt Blair,Lincoln McIlravy,1993
142,142,Pat Matsuda,-2,Eric Jamerson,-1,r32,,4:02,F,Eric Jamerson,,Cal State-Bakersfield,,Boston University,Pat Matsuda,Eric Jamerson,1993
142,142,Kevin Bracken,4,Charlie Branch,10,r32,,,DEC,Charlie Branch,,Illinois State,,Virginia Military,Kevin Bracken,Charlie Branch,1993
142,142,Chad Carlson,2,Mark Cesari,8,r32,,,DEC,Mark Cesari,,Minnesota,9,North Carolina State,Chad Carlson,Mark Cesari,1993
142,142,Keith Burgess,2,Russ Hughes,5,r32,,,DEC,Russ Hughes,,Maryland,8,Penn State,Keith Burgess,Russ Hughes,1993
142,142,Shannyn Gillespie,-3,Mike Mammon,-4,r32,,,DFT,Shannyn Gillespie,1,Lock Haven,,Clemson,Shannyn Gillespie,Mike Mammon,1993
142,142,Steve St. John,5,Paul Andreotti,2,r32,,,DEC,Steve St. John,,Arizona State,,Northwestern,Steve St. John,Paul Andreotti,1993
142,142,Gerry Abas,16,Jim Pedro,8,r32,,,MD,Gerry Abas,2,Fresno State,,Brown,Gerry Abas,Jim Pedro,1993
142,142,Gordon Cashen,-2,Andy Trevino,-1,r32,,4:34,F,Andy Trevino,,Central Michigan,,Indiana,Gordon Cashen,Andy Trevino,1993
142,142,Michael Swift,10,Steve Lilley,9,r32,,,DEC,Michael Swift,10,California PA,,Bloomsburg,Michael Swift,Steve Lilley,1993
142,142,Dave Leonardis,6,Jody Wilson,7,r32,,,DEC,Jody Wilson,,North Carolina,7,Iowa State,Dave Leonardis,Jody Wilson,1993
