wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year,check,0
Pat Santoro,Pat Boyd,Pat Santoro,9,Pat Boyd,2,r4,,,DEC,Pat Santoro,2,Pittsburgh,11,Notre Dame,142,142,1989,0,
Junior Saunders,Pat Santoro,Junior Saunders,6,Pat Santoro,7,m1,1,,DEC,Pat Santoro,4,Arizona State,2,Pittsburgh,142,142,1989,0,
Ryan Johnson,Travis West,Ryan Johnson,-2,Travis West,-1,c1,,,F,Travis West,,Central Connecticut,,Portland State,142,142,1989,0,
Danny Hayes,Joe Cesari,Danny Hayes,4,Joe Cesari,6,c1,,,DEC,Joe Cesari,,Missouri,,North Carolina State,142,142,1989,0,
Kris Felthousen,Buzz Wincheski,Kris Felthousen,3,Buzz Wincheski,5,c1,,,DEC,Buzz Wincheski,,Virginia,,William & Mary,142,142,1989,0,
Enzo Catullo,Mark Toarmina,Enzo Catullo,9,Mark Toarmina,7,c1,,,DEC,Enzo Catullo,8,North Carolina,9,Oklahoma State,142,142,1989,0,
John Martin,Pat Waters,John Martin,4,Pat Waters,1,c1,,,DEC,John Martin,,Cal Poly-SLO,,Cornell,142,142,1989,0,
Scott Glenn,Terry Kennedy,Scott Glenn,1,Terry Kennedy,3,c1,,,DEC,Terry Kennedy,,Oregon,10,Edinboro,142,142,1989,0,
Tim Tusick,Rob Meloy,Tim Tusick,3,Rob Meloy,4,c1,,,DEC,Rob Meloy,,Kent State,,Penn State,142,142,1989,0,
Adam Caldwell,Jeff Gibbons,Adam Caldwell,2,Jeff Gibbons,5,c1,,,DEC,Jeff Gibbons,,Indiana,6,Iowa State,142,142,1989,0,
Travis West,Joe Cesari,Travis West,8,Joe Cesari,4,c2,1,,DEC,Travis West,,Portland State,,North Carolina State,142,142,1989,0,
Buzz Wincheski,Enzo Catullo,Buzz Wincheski,1,Enzo Catullo,3,c2,,,DEC,Enzo Catullo,,William & Mary,8,North Carolina,142,142,1989,0,
John Martin,Terry Kennedy,John Martin,5,Terry Kennedy,11,c2,,,DEC,Terry Kennedy,,Cal Poly-SLO,10,Edinboro,142,142,1989,0,
Rob Meloy,Jeff Gibbons,Rob Meloy,1,Jeff Gibbons,2,c2,1,,DEC,Jeff Gibbons,,Penn State,6,Iowa State,142,142,1989,0,
Travis West,Joe Reynolds,Travis West,7,Joe Reynolds,8,br,,,DEC,Joe Reynolds,,Portland State,3,Oklahoma,142,142,1989,0,
Enzo Catullo,Stacy Richmond,Enzo Catullo,-3,Stacy Richmond,-4,br,,,DFT,Enzo Catullo,8,North Carolina,7,Michigan State,142,142,1989,0,
Terry Kennedy,Layne Billings,Terry Kennedy,6,Layne Billings,3,br,,,DEC,Terry Kennedy,10,Edinboro,,Nebraska,142,142,1989,0,
Jeff Gibbons,Larry Gotcher,Jeff Gibbons,5,Larry Gotcher,9,br,,,DEC,Larry Gotcher,6,Iowa State,5,Michigan,142,142,1989,0,
Joe Reynolds,Enzo Catullo,Joe Reynolds,2,Enzo Catullo,6,c4,,,DEC,Enzo Catullo,3,Oklahoma,8,North Carolina,142,142,1989,0,
Terry Kennedy,Larry Gotcher,Terry Kennedy,2,Larry Gotcher,3,c4,,,DEC,Larry Gotcher,10,Edinboro,5,Michigan,142,142,1989,0,
Enzo Catullo,Mike Cole,Enzo Catullo,-2,Mike Cole,-1,cs,,4:30,F,Mike Cole,8,North Carolina,1,Clarion,142,142,1989,0,
Larry Gotcher,Pat Boyd,Larry Gotcher,-1,Pat Boyd,-2,cs,,3:37,F,Larry Gotcher,5,Michigan,11,Notre Dame,142,142,1989,0,
Mike Cole,Larry Gotcher,Mike Cole,-1,Larry Gotcher,-3,m3,,5:18,F,Mike Cole,1,Clarion,5,Michigan,142,142,1989,0,
Pat Boyd,Enzo Catullo,Pat Boyd,7,Enzo Catullo,3,m5,,,DEC,Pat Boyd,11,Notre Dame,8,North Carolina,142,142,1989,0,
Terry Kennedy,Joe Reynolds,Terry Kennedy,-3,Joe Reynolds,-4,m7,,,DFT,Terry Kennedy,10,Edinboro,3,Oklahoma,142,142,1989,0,
Duane Maue,Dave Sloan,Duane Maue,6,Dave Sloan,2,p1,,,DEC,Duane Maue,,Colorado Mines,,Appalachian State,142,142,1989,0,
Pat Santoro,John Martin,Pat Santoro,17,John Martin,2,p1,,4:56,TF,Pat Santoro,2,Pittsburgh,,Cal Poly-SLO,142,142,1989,0,
Junior Saunders,Ryan Johnson,Junior Saunders,7,Ryan Johnson,5,p1,,,DEC,Junior Saunders,4,Arizona State,,Central Connecticut,142,142,1989,0,
Stacy Richmond,Mark Billups,Stacy Richmond,9,Mark Billups,8,p1,,,DEC,Stacy Richmond,7,Michigan State,,Old Dominion,142,142,1989,0,
Joe Reynolds,Steve Morris,Joe Reynolds,12,Steve Morris,3,p1,,,MD,Joe Reynolds,3,Oklahoma,,Cal State-Bakersfield,142,142,1989,0,
Joe Cesari,Matt Ciccarello,Joe Cesari,8,Matt Ciccarello,0,p1,,,MD,Joe Cesari,,North Carolina State,,Air Force,142,142,1989,0,
Robbie Winter,Gary Steffensmeier,Robbie Winter,9,Gary Steffensmeier,6,p1,,,DEC,Robbie Winter,,Brigham Young,,Northern Iowa,142,142,1989,0,
John Martin,Jeff Scotton,John Martin,18,Jeff Scotton,13,cp1,1,,DEC,John Martin,,Cal Poly-SLO,,Bucknell,142,142,1989,0,
Ryan Johnson,Marty King,Ryan Johnson,7,Marty King,5,cp1,,,DEC,Ryan Johnson,,Central Connecticut,,Bloomsburg,142,142,1989,0,
Scott Glenn,Mark Billups,Scott Glenn,7,Mark Billups,3,cp1,,,DEC,Scott Glenn,,Oregon,,Old Dominion,142,142,1989,0,
Tim Tusick,Steve Morris,Tim Tusick,16,Steve Morris,13,cp1,,,DEC,Tim Tusick,,Kent State,,Cal State-Bakersfield,142,142,1989,0,
Tom Ryan,Tim Monahan,Tom Ryan,12,Tim Monahan,5,r32,,,DEC,Tom Ryan,12,Syracuse,,Humbouldt State,150,150,1989,0,
Todd Chesbro,Darrin Farrow,Todd Chesbro,15,Darrin Farrow,2,r32,,,MD,Todd Chesbro,5,Oklahoma State,,North Carolina State,150,150,1989,0,
Tom Sell,Dave Morgan,Tom Sell,2,Dave Morgan,4,r32,,,DEC,Dave Morgan,,Tennessee-Chattanooga,4,Bloomsburg,150,150,1989,0,
Thane Turner,Paul Herrera,Thane Turner,5,Paul Herrera,11,r32,,,DEC,Paul Herrera,,Lock Haven,,Nebraska,150,150,1989,0,
Mel Rentschler,Ben Dagley,Mel Rentschler,6,Ben Dagley,14,r32,,,MD,Ben Dagley,,Toledo,,Ashland,150,150,1989,0,
Sam Amine,Tim Krieger,Sam Amine,-2,Tim Krieger,-1,r32,,3:42,F,Tim Krieger,,Michigan,1,Iowa State,150,150,1989,0,
Tedon Fleischman,Dave Wlodarz,Tedon Fleischman,4,Dave Wlodarz,3,r32,,,DEC,Tedon Fleischman,,New Mexico,8,Cleveland State,150,150,1989,0,
Dan Russell,John Fasti,Dan Russell,14,John Fasti,3,r32,,,MD,Dan Russell,9,Portland State,,Rider,150,150,1989,0,
Bill Orr,Karl Monaco,Bill Orr,-2,Karl Monaco,-1,r32,,2:28,F,Karl Monaco,,Clemson,2,Montclair State,150,150,1989,0,
Chris Humphreys,Aaron Peters,Chris Humphreys,6,Aaron Peters,8,r32,,,DEC,Aaron Peters,,Brigham Young,,Navy,150,150,1989,0,
Kirk Salvo,Pat Hogan,Kirk Salvo,3,Pat Hogan,11,r32,,,MD,Pat Hogan,,Brown,10,Northern Iowa,150,150,1989,0,
Thom Ortiz,Brandon Dennington,Thom Ortiz,8,Brandon Dennington,5,r32,,,DEC,Thom Ortiz,7,Arizona State,,Oklahoma,150,150,1989,0,
Greg Warren,George Johnston,Greg Warren,6,George Johnston,5,r32,,,DEC,Greg Warren,,Missouri,,Oregon,150,150,1989,0,
Richard Bailey,Doug Streicher,Richard Bailey,15,Doug Streicher,7,r32,,,MD,Richard Bailey,6,Cal State-Bakersfield,,Iowa,150,150,1989,0,
Brian Schneider,Scott Hovan,Brian Schneider,-2,Scott Hovan,-1,r32,,6:57,F,Scott Hovan,,Eastern Michigan,11,Pittsburgh,150,150,1989,0,
Tom Ryan,Todd Chesbro,Tom Ryan,3,Todd Chesbro,8,r16,,,DEC,Todd Chesbro,12,Syracuse,5,Oklahoma State,150,150,1989,0,
Dave Morgan,Paul Herrera,Dave Morgan,13,Paul Herrera,4,r16,,,MD,Dave Morgan,4,Bloomsburg,,Nebraska,150,150,1989,0,
Ben Dagley,Tim Krieger,Ben Dagley,-2,Tim Krieger,-1,r16,,3:33,F,Tim Krieger,,Ashland,1,Iowa State,150,150,1989,0,
Tedon Fleischman,Dan Russell,Tedon Fleischman,6,Dan Russell,5,r16,,,DEC,Tedon Fleischman,,New Mexico,9,Portland State,150,150,1989,0,
Karl Monaco,Aaron Peters,Karl Monaco,4,Aaron Peters,2,r16,,,DEC,Karl Monaco,2,Montclair State,,Navy,150,150,1989,0,
Pat Hogan,Thom Ortiz,Pat Hogan,0,Thom Ortiz,2,r16,,,DEC,Thom Ortiz,10,Northern Iowa,7,Arizona State,150,150,1989,0,
Greg Warren,Brian Dolph,Greg Warren,3,Brian Dolph,12,r16,,,MD,Brian Dolph,,Missouri,3,Indiana,150,150,1989,0,
Brett Argeris,Brian Dolph,Brett Argeris,0,Brian Dolph,15,r32,,5:26,TF,Brian Dolph,,Wyoming,3,Indiana,150,150,1989,0,
Richard Bailey,Scott Hovan,Richard Bailey,6,Scott Hovan,2,r16,,,DEC,Richard Bailey,6,Cal State-Bakersfield,11,Pittsburgh,150,150,1989,0,
Todd Chesbro,Dave Morgan,Todd Chesbro,7,Dave Morgan,6,r8,1,,DEC,Todd Chesbro,5,Oklahoma State,4,Bloomsburg,150,150,1989,0,
Tim Krieger,Tedon Fleischman,Tim Krieger,-1,Tedon Fleischman,-2,r8,,1:27,F,Tim Krieger,1,Iowa State,,New Mexico,150,150,1989,0,
Karl Monaco,Thom Ortiz,Karl Monaco,5,Thom Ortiz,4,r8,,,DEC,Karl Monaco,2,Montclair State,7,Arizona State,150,150,1989,0,
Brian Dolph,Richard Bailey,Brian Dolph,3,Richard Bailey,5,r8,,,DEC,Richard Bailey,3,Indiana,6,Cal State-Bakersfield,150,150,1989,0,
Todd Chesbro,Tim Krieger,Todd Chesbro,0,Tim Krieger,11,r4,,,MD,Tim Krieger,5,Oklahoma State,1,Iowa State,150,150,1989,0,
Karl Monaco,Richard Bailey,Karl Monaco,7,Richard Bailey,3,r4,,,DEC,Karl Monaco,2,Montclair State,6,Cal State-Bakersfield,150,150,1989,0,
Tim Krieger,Karl Monaco,Tim Krieger,5,Karl Monaco,0,m1,,,DEC,Tim Krieger,1,Iowa State,2,Montclair State,150,150,1989,0,
Darrin Farrow,Tom Ryan,Darrin Farrow,7,Tom Ryan,10,c1,,,DEC,Tom Ryan,,North Carolina State,12,Syracuse,150,150,1989,0,
Tom Sell,Paul Herrera,Tom Sell,5,Paul Herrera,4,c1,1,,DEC,Tom Sell,,Tennessee-Chattanooga,,Nebraska,150,150,1989,0,
Sam Amine,Ben Dagley,Sam Amine,15,Ben Dagley,0,c1,,5:35,TF,Sam Amine,,Michigan,,Ashland,150,150,1989,0,
Dave Wlodarz,Dan Russell,Dave Wlodarz,3,Dan Russell,6,c1,,,DEC,Dan Russell,8,Cleveland State,9,Portland State,150,150,1989,0,
Bill Orr,Aaron Peters,Bill Orr,2,Aaron Peters,7,c1,,,DEC,Aaron Peters,,Clemson,,Navy,150,150,1989,0,
Brandon Dennington,Pat Hogan,Brandon Dennington,3,Pat Hogan,5,c1,,,DEC,Pat Hogan,,Oklahoma,10,Northern Iowa,150,150,1989,0,
Brett Argeris,Greg Warren,Brett Argeris,3,Greg Warren,11,c1,,,MD,Greg Warren,,Wyoming,,Missouri,150,150,1989,0,
Doug Streicher,Scott Hovan,Doug Streicher,4,Scott Hovan,8,c1,,,DEC,Scott Hovan,,Iowa,11,Pittsburgh,150,150,1989,0,
Tom Ryan,Paul Herrera,Tom Ryan,-2,Paul Herrera,-1,c2,,5:16,F,Paul Herrera,12,Syracuse,,Nebraska,150,150,1989,0,
Sam Amine,Dan Russell,Sam Amine,8,Dan Russell,11,c2,,,DEC,Dan Russell,,Michigan,9,Portland State,150,150,1989,0,
Aaron Peters,Pat Hogan,Aaron Peters,2,Pat Hogan,6,c2,,,DEC,Pat Hogan,,Navy,10,Northern Iowa,150,150,1989,0,
Greg Warren,Scott Hovan,Greg Warren,-2,Scott Hovan,-1,c2,,2:53,F,Scott Hovan,,Missouri,11,Pittsburgh,150,150,1989,0,
Paul Herrera,Brian Dolph,Paul Herrera,-4,Brian Dolph,-3,br,,,DFT,Brian Dolph,,Nebraska,3,Indiana,150,150,1989,0,
Dan Russell,Thom Ortiz,Dan Russell,1,Thom Ortiz,3,br,,,DEC,Thom Ortiz,9,Portland State,7,Arizona State,150,150,1989,0,
Pat Hogan,Tedon Fleischman,Pat Hogan,4,Tedon Fleischman,6,br,1,,DEC,Tedon Fleischman,10,Northern Iowa,,New Mexico,150,150,1989,0,
Scott Hovan,Dave Morgan,Scott Hovan,1,Dave Morgan,2,br,,,DEC,Dave Morgan,11,Pittsburgh,4,Bloomsburg,150,150,1989,0,
Brian Dolph,Thom Ortiz,Brian Dolph,8,Thom Ortiz,4,c4,,,DEC,Brian Dolph,3,Indiana,7,Arizona State,150,150,1989,0,
Tedon Fleischman,Dave Morgan,Tedon Fleischman,-2,Dave Morgan,-1,c4,,5:36,F,Dave Morgan,,New Mexico,4,Bloomsburg,150,150,1989,0,
Brian Dolph,Todd Chesbro,Brian Dolph,6,Todd Chesbro,0,cs,,,DEC,Brian Dolph,3,Indiana,5,Oklahoma State,150,150,1989,0,
Dave Morgan,Richard Bailey,Dave Morgan,3,Richard Bailey,4,cs,,,DEC,Richard Bailey,4,Bloomsburg,6,Cal State-Bakersfield,150,150,1989,0,
Brian Dolph,Richard Bailey,Brian Dolph,5,Richard Bailey,4,m3,,,DEC,Brian Dolph,3,Indiana,6,Cal State-Bakersfield,150,150,1989,0,
Todd Chesbro,Dave Morgan,Todd Chesbro,6,Dave Morgan,3,m5,,,DEC,Todd Chesbro,5,Oklahoma State,4,Bloomsburg,150,150,1989,0,
Thom Ortiz,Tedon Fleischman,Thom Ortiz,3,Tedon Fleischman,1,m7,,,DEC,Thom Ortiz,7,Arizona State,,New Mexico,150,150,1989,0,
Tedon Fleischman,Scott Schumm,Tedon Fleischman,10,Scott Schumm,3,p1,,,DEC,Tedon Fleischman,,New Mexico,,Cal State-Fullerton,150,150,1989,0,
Thane Turner,Terry Murphy,Thane Turner,3,Terry Murphy,2,p1,,,DEC,Thane Turner,,Lock Haven,,Eastern Illinois,150,150,1989,0,
Mel Rentschler,Rick Lynch,Mel Rentschler,2,Rick Lynch,1,p1,1,,DEC,Mel Rentschler,,Toledo,,Boston University,150,150,1989,0,
Chris Humphreys,Mike Bevilacqua,Chris Humphreys,5,Mike Bevilacqua,4,p1,,,DEC,Chris Humphreys,,Brigham Young,,Penn State,150,150,1989,0,
Greg Warren,Dave Walter,Greg Warren,8,Dave Walter,7,p1,,,DEC,Greg Warren,,Missouri,,Purdue,150,150,1989,0,
Dave Wlodarz,Scott Schumm,Dave Wlodarz,4,Scott Schumm,3,cp1,,,DEC,Dave Wlodarz,8,Cleveland State,,Cal State-Fullerton,150,150,1989,0,
Sean Finkbeiner,Howard Langford,Sean Finkbeiner,5,Howard Langford,2,r32,,,DEC,Sean Finkbeiner,,Penn State,,Tennessee-Chattanooga,158,158,1989,0,
Paul Olejnik,Gordy Morgan,Paul Olejnik,0,Gordy Morgan,4,r32,,,DEC,Gordy Morgan,,Cal State-Bakersfield,4,Minnesota,158,158,1989,0,
Joel Smith,E.C. Cotton,Joel Smith,-1,E.C. Cotton,-2,r32,,2:15,F,Joel Smith,5,Eastern Michigan,,Illinois State,158,158,1989,0,
Jeff Coltvet,Matt Peters,Jeff Coltvet,10,Matt Peters,6,r32,,,DEC,Jeff Coltvet,12,Nebraska,,Cleveland State,158,158,1989,0,
Greg Satchell,Jeff Kwortnik,Greg Satchell,6,Jeff Kwortnik,9,r32,,,DEC,Jeff Kwortnik,,Old Dominion,,North Carolina State,158,158,1989,0,
Mark Reiland,Dan St. John,Mark Reiland,0,Dan St. John,6,r32,,,DEC,Dan St. John,,Iowa,1,Arizona State,158,158,1989,0,
Joe Mannix,Chris Lembeck,Joe Mannix,2,Chris Lembeck,7,r32,,,DEC,Chris Lembeck,,George Washington,8,Northern Iowa,158,158,1989,0,
K.C. Lane,Jim Pearson,K.C. Lane,2,Jim Pearson,10,r32,,,MD,Jim Pearson,,Boise State,9,Indiana,158,158,1989,0,
E.C. Muelhaupt,Wes White,E.C. Muelhaupt,14,Wes White,5,r32,,,MD,E.C. Muelhaupt,,Brown,7,Oklahoma State,158,158,1989,0,
Mike Schroat,Wade Zimmerman,Mike Schroat,8,Wade Zimmerman,4,r32,,,DEC,Mike Schroat,,Wilkes,,Fresno State,158,158,1989,0,
Joe Pantaleo,Mike Flynn,Joe Pantaleo,4,Mike Flynn,3,r32,,,DEC,Joe Pantaleo,2,Michigan,,Edinboro,158,158,1989,0,
Mike Lehman,Jay Landolfo,Mike Lehman,2,Jay Landolfo,8,r32,,,DEC,Jay Landolfo,,Rider,,North Carolina,158,158,1989,0,
Dave Williams,Steve Hamilton,Dave Williams,1,Steve Hamilton,6,r32,,,DEC,Steve Hamilton,,Boston University,3,Iowa State,158,158,1989,0,
Craig Holiday,Brian Chambers,Craig Holiday,8,Brian Chambers,7,r32,,,DEC,Craig Holiday,,Wisconsin,,Marquette,158,158,1989,0,
Chauncy Wynn,Jeff Turner,Chauncy Wynn,10,Jeff Turner,6,r32,1,,DEC,Chauncy Wynn,,Morgan State,11,Pittsburgh,158,158,1989,0,
Scott Schleicher,Tim Briggs,Scott Schleicher,19,Tim Briggs,4,r32,,6:31,TF,Scott Schleicher,6,Navy,,North Dakota,158,158,1989,0,
Sean Finkbeiner,Gordy Morgan,Sean Finkbeiner,2,Gordy Morgan,4,r16,,,DEC,Gordy Morgan,,Penn State,4,Minnesota,158,158,1989,0,
Joel Smith,Jeff Coltvet,Joel Smith,9,Jeff Coltvet,3,r16,,,DEC,Joel Smith,5,Eastern Michigan,12,Nebraska,158,158,1989,0,
Jeff Kwortnik,Dan St. John,Jeff Kwortnik,4,Dan St. John,11,r16,,,DEC,Dan St. John,,North Carolina State,1,Arizona State,158,158,1989,0,
Chris Lembeck,Jim Pearson,Chris Lembeck,5,Jim Pearson,1,r16,,,DEC,Chris Lembeck,8,Northern Iowa,9,Indiana,158,158,1989,0,
E.C. Muelhaupt,Mike Schroat,E.C. Muelhaupt,7,Mike Schroat,8,r16,,,DEC,Mike Schroat,,Brown,,Wilkes,158,158,1989,0,
Joe Pantaleo,Jay Landolfo,Joe Pantaleo,16,Jay Landolfo,1,r16,,6:20,TF,Joe Pantaleo,2,Michigan,,North Carolina,158,158,1989,0,
Steve Hamilton,Craig Holiday,Steve Hamilton,14,Craig Holiday,5,r16,,,MD,Steve Hamilton,3,Iowa State,,Wisconsin,158,158,1989,0,
Chauncy Wynn,Scott Schleicher,Chauncy Wynn,3,Scott Schleicher,6,r16,,,DEC,Scott Schleicher,,Morgan State,6,Navy,158,158,1989,0,
Gordy Morgan,Joel Smith,Gordy Morgan,8,Joel Smith,14,r8,1,,DEC,Joel Smith,4,Minnesota,5,Eastern Michigan,158,158,1989,0,
Dan St. John,Chris Lembeck,Dan St. John,10,Chris Lembeck,2,r8,,,MD,Dan St. John,1,Arizona State,8,Northern Iowa,158,158,1989,0,
Mike Schroat,Joe Pantaleo,Mike Schroat,6,Joe Pantaleo,17,r8,,,MD,Joe Pantaleo,,Wilkes,2,Michigan,158,158,1989,0,
Steve Hamilton,Scott Schleicher,Steve Hamilton,4,Scott Schleicher,5,r8,,,DEC,Scott Schleicher,3,Iowa State,6,Navy,158,158,1989,0,
Joel Smith,Dan St. John,Joel Smith,2,Dan St. John,5,r4,,,DEC,Dan St. John,5,Eastern Michigan,1,Arizona State,158,158,1989,0,
Joe Pantaleo,Scott Schleicher,Joe Pantaleo,6,Scott Schleicher,1,r4,,,DEC,Joe Pantaleo,2,Michigan,6,Navy,158,158,1989,0,
Dan St. John,Joe Pantaleo,Dan St. John,4,Joe Pantaleo,2,m1,1,,DEC,Dan St. John,1,Arizona State,2,Michigan,158,158,1989,0,
Paul Olejnik,Sean Finkbeiner,Paul Olejnik,6,Sean Finkbeiner,9,c1,,,DEC,Sean Finkbeiner,,Cal State-Bakersfield,,Penn State,158,158,1989,0,
E.C. Cotton,Jeff Coltvet,E.C. Cotton,5,Jeff Coltvet,8,c1,,,DEC,Jeff Coltvet,,Illinois State,12,Nebraska,158,158,1989,0,
Mark Reiland,Jeff Kwortnik,Mark Reiland,7,Jeff Kwortnik,6,c1,,,DEC,Mark Reiland,,Iowa,,North Carolina State,158,158,1989,0,
Joe Mannix,Jim Pearson,Joe Mannix,2,Jim Pearson,3,c1,,,DEC,Jim Pearson,,George Washington,9,Indiana,158,158,1989,0,
Wade Zimmerman,E.C. Muelhaupt,Wade Zimmerman,-1,E.C. Muelhaupt,-2,c1,,0:21,F,Wade Zimmerman,,Fresno State,,Brown,158,158,1989,0,
Mike Flynn,Jay Landolfo,Mike Flynn,5,Jay Landolfo,1,c1,,,DEC,Mike Flynn,,Edinboro,,North Carolina,158,158,1989,0,
Dave Williams,Craig Holiday,Dave Williams,4,Craig Holiday,3,c1,,,DEC,Dave Williams,,Boston University,,Wisconsin,158,158,1989,0,
Tim Briggs,Chauncy Wynn,Tim Briggs,7,Chauncy Wynn,9,c1,,,DEC,Chauncy Wynn,,North Dakota,,Morgan State,158,158,1989,0,
Sean Finkbeiner,Jeff Coltvet,Sean Finkbeiner,1,Jeff Coltvet,2,c2,,,DEC,Jeff Coltvet,,Penn State,12,Nebraska,158,158,1989,0,
Mark Reiland,Jim Pearson,Mark Reiland,6,Jim Pearson,1,c2,,,DEC,Mark Reiland,,Iowa,9,Indiana,158,158,1989,0,
Wade Zimmerman,Mike Flynn,Wade Zimmerman,2,Mike Flynn,0,c2,,,DEC,Wade Zimmerman,,Fresno State,,Edinboro,158,158,1989,0,
Dave Williams,Chauncy Wynn,Dave Williams,4,Chauncy Wynn,9,c2,,,DEC,Chauncy Wynn,,Boston University,,Morgan State,158,158,1989,0,
Jeff Coltvet,Steve Hamilton,Jeff Coltvet,3,Steve Hamilton,4,br,,,DEC,Steve Hamilton,12,Nebraska,3,Iowa State,158,158,1989,0,
Mark Reiland,Mike Schroat,Mark Reiland,7,Mike Schroat,3,br,,,DEC,Mark Reiland,,Iowa,,Wilkes,158,158,1989,0,
Wade Zimmerman,Chris Lembeck,Wade Zimmerman,3,Chris Lembeck,1,br,,,DEC,Wade Zimmerman,,Fresno State,8,Northern Iowa,158,158,1989,0,
Chauncy Wynn,Gordy Morgan,Chauncy Wynn,2,Gordy Morgan,4,br,,,DEC,Gordy Morgan,,Morgan State,4,Minnesota,158,158,1989,0,
Steve Hamilton,Mark Reiland,Steve Hamilton,-2,Mark Reiland,-1,c4,,1:48,F,Mark Reiland,3,Iowa State,,Iowa,158,158,1989,0,
Wade Zimmerman,Gordy Morgan,Wade Zimmerman,6,Gordy Morgan,4,c4,,,DEC,Wade Zimmerman,,Fresno State,4,Minnesota,158,158,1989,0,
Mark Reiland,Joel Smith,Mark Reiland,9,Joel Smith,8,cs,,,DEC,Mark Reiland,,Iowa,5,Eastern Michigan,158,158,1989,0,
Wade Zimmerman,Scott Schleicher,Wade Zimmerman,2,Scott Schleicher,9,cs,,,DEC,Scott Schleicher,,Fresno State,6,Navy,158,158,1989,0,
Scott Schleicher,Mark Reiland,Scott Schleicher,3,Mark Reiland,2,m3,,,DEC,Scott Schleicher,6,Navy,,Iowa,158,158,1989,0,
Joel Smith,Wade Zimmerman,Joel Smith,6,Wade Zimmerman,4,m5,,,DEC,Joel Smith,5,Eastern Michigan,,Fresno State,158,158,1989,0,
Steve Hamilton,Gordy Morgan,Steve Hamilton,4,Gordy Morgan,3,m7,,,DEC,Steve Hamilton,3,Iowa State,4,Minnesota,158,158,1989,0,
Dave Williams,Jeff Howard,Dave Williams,7,Jeff Howard,0,p1,,,DEC,Dave Williams,,Boston University,,SUNY-Buffalo,158,158,1989,0,
Joe Mannix,Freddie Darris,Joe Mannix,13,Freddie Darris,3,p1,,,MD,Joe Mannix,,George Washington,,Missouri,158,158,1989,0,
Mike Schroat,Scott Buckiso,Mike Schroat,10,Scott Buckiso,6,p1,,,DEC,Mike Schroat,,Wilkes,,Maryland,158,158,1989,0,
Wade Zimmerman,Scott Buckiso,Wade Zimmerman,-1,Scott Buckiso,-2,cp1,,5:39,F,Wade Zimmerman,,Fresno State,,Maryland,158,158,1989,0,
Scott Chenoweth,Brad Morris,Scott Chenoweth,9,Brad Morris,5,r32,,,DEC,Scott Chenoweth,,Nebraska,,Ferris State,167,167,1989,0,
John Kohls,Rob Milavsky,John Kohls,7,Rob Milavsky,12,r32,,,DEC,Rob Milavsky,4,Brigham Young,,James Madison,167,167,1989,0,
John Rippley,Jay Schwartz,John Rippley,13,Jay Schwartz,3,r32,,,MD,John Rippley,5,Army,,West Virginia,167,167,1989,0,
Tom Marchetti,Jeff Harris,Tom Marchetti,9,Jeff Harris,1,r32,,,MD,Tom Marchetti,,Bucknell,12,Southwest Missouri,167,167,1989,0,
Jason Morris,Dave Zettlemoyer,Jason Morris,5,Dave Zettlemoyer,3,r32,,,DEC,Jason Morris,,Syracuse,,North Carolina State,167,167,1989,0,
Randy Worrell,Dave Lee,Randy Worrell,-4,Dave Lee,-3,r32,,,DFT,Dave Lee,,Delaware Valley,1,Wisconsin,167,167,1989,0,
G.T. Taylor,Chris Geneser,G.T. Taylor,4,Chris Geneser,5,r32,,,DEC,Chris Geneser,,Arizona State,,Notre Dame,167,167,1989,0,
Mike Amine,Steve Blanner,Mike Amine,-1,Steve Blanner,-2,r32,,2:56,F,Mike Amine,9,Michigan,,Missouri,167,167,1989,0,
Jeff Karam,Marty Morgan,Jeff Karam,0,Marty Morgan,2,r32,,,DEC,Marty Morgan,,Lock Haven,7,Minnesota,167,167,1989,0,
Brad Traviolia,Eric Unger,Brad Traviolia,9,Eric Unger,8,r32,,,DEC,Brad Traviolia,10,Northwestern,,Slippery Rock,167,167,1989,0,
Mike Caro,Mike Maxam,Mike Caro,1,Mike Maxam,8,r32,,,DEC,Mike Maxam,,Maryland,,Appalachian State,167,167,1989,0,
Mark Voloshin,Mike Farrell,Mark Voloshin,7,Mike Farrell,8,r32,,,DEC,Mike Farrell,,Wyoming,2,Oklahoma State,167,167,1989,0,
Rikk Walters,Baron Blakley,Rikk Walters,-2,Baron Blakley,-1,r32,,6:29,F,Baron Blakley,,Edinboro,6,Oklahoma,167,167,1989,0,
Rob DeSalve,Eric Messner,Rob DeSalve,4,Eric Messner,11,r32,,,DEC,Eric Messner,,Rider,11,Oregon,167,167,1989,0,
John Heffernan,Todd Kendle,John Heffernan,6,Todd Kendle,3,r32,,,DEC,John Heffernan,3,Iowa,,Augustana SD,167,167,1989,0,
Ted Price,Mark Perkins,Ted Price,5,Mark Perkins,2,r32,,,DEC,Ted Price,,Wisconsin-Parkland,,New Hampshire,167,167,1989,0,
Scott Chenoweth,Rob Milavsky,Scott Chenoweth,4,Rob Milavsky,6,r16,,,DEC,Rob Milavsky,,Nebraska,,James Madison,167,167,1989,0,
