wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year
Tom Ryan,Mike Marzetta,Tom Ryan,6,Mike Marzetta,2,r8,,,DEC,Tom Ryan,2,Iowa,7,Minnesota,158,158,1992
Ray Miller,Tim Wittman,Ray Miller,5,Tim Wittman,3,r8,,,DEC,Ray Miller,3,Arizona State,6,Penn State,158,158,1992
Scott Hovan,Pat Smith,Scott Hovan,2,Pat Smith,13,r4,,,MD,Pat Smith,5,Pittsburgh,1,Oklahoma State,158,158,1992
Tom Ryan,Ray Miller,Tom Ryan,5,Ray Miller,6,r4,,,DEC,Ray Miller,2,Iowa,3,Arizona State,158,158,1992
Pat Smith,Ray Miller,Pat Smith,3,Ray Miller,1,m1,,,DEC,Pat Smith,1,Oklahoma State,3,Arizona State,158,158,1992
Jason Leonard,Mike Santamaria,Jason Leonard,7,Mike Santamaria,4,c1,,,DEC,Jason Leonard,,Oklahoma,,George Mason,158,158,1992
Rick Hepp,Jamie Byrne,Rick Hepp,6,Jamie Byrne,7,c1,,,DEC,Jamie Byrne,,Lehigh,12,Northern Iowa,158,158,1992
Matt Topham,Kemal Pegram,Matt Topham,8,Kemal Pegram,5,c1,,,DEC,Matt Topham,,Stanford,,Lock Haven,158,158,1992
T.C. Dantzler,Darren Gustafson,T.C. Dantzler,2,Darren Gustafson,3,c1,,,DEC,Darren Gustafson,,Northern Illinois,,Oregon,158,158,1992
Matt Lindland,Shaon Fry,Matt Lindland,3,Shaon Fry,6,c1,,,DEC,Shaon Fry,,Nebraska,,Missouri,158,158,1992
Doug TerHark,Kirk Wallman,Doug TerHark,-2,Kirk Wallman,-1,c1,,1:02,F,Kirk Wallman,,California PA,,Iowa State,158,158,1992
Mike New,Paul Casey,Mike New,10,Paul Casey,4,c1,,,DEC,Mike New,,Cornell,,Ohio University,158,158,1992
Andy Leathers,Pete Welch,Andy Leathers,6,Pete Welch,7,c1,,,DEC,Pete Welch,,Boise State,11,North Carolina,158,158,1992
Jason Leonard,Jamie Byrne,Jason Leonard,4,Jamie Byrne,6,c2,,,DEC,Jamie Byrne,,Oklahoma,12,Northern Iowa,158,158,1992
Matt Topham,Darren Gustafson,Matt Topham,4,Darren Gustafson,2,c2,,,DEC,Matt Topham,,Stanford,,Oregon,158,158,1992
Shaon Fry,Kirk Wallman,Shaon Fry,2,Kirk Wallman,5,c2,,,DEC,Kirk Wallman,,Missouri,,Iowa State,158,158,1992
Mike New,Pete Welch,Mike New,12,Pete Welch,7,c2,,,DEC,Mike New,,Cornell,11,North Carolina,158,158,1992
Jamie Byrne,Tim Wittman,Jamie Byrne,1,Tim Wittman,3,br,,,DEC,Tim Wittman,12,Northern Iowa,6,Penn State,158,158,1992
Matt Topham,Mike Marzetta,Matt Topham,6,Mike Marzetta,8,br,,,DEC,Mike Marzetta,,Stanford,7,Minnesota,158,158,1992
Kirk Wallman,Mike Schyck,Kirk Wallman,2,Mike Schyck,3,br,,,DEC,Mike Schyck,,Iowa State,8,Ohio State,158,158,1992
Mike New,Howard Langford,Mike New,10,Howard Langford,18,br,,,MD,Howard Langford,,Cornell,4,Tennessee-Chattanooga,158,158,1992
Tim Wittman,Mike Marzetta,Tim Wittman,6,Mike Marzetta,4,c4,,,DEC,Tim Wittman,6,Penn State,7,Minnesota,158,158,1992
Mike Schyck,Howard Langford,Mike Schyck,-3,Howard Langford,-4,c4,,,DFT,Mike Schyck,8,Ohio State,4,Tennessee-Chattanooga,158,158,1992
Tim Wittman,Scott Hovan,Tim Wittman,5,Scott Hovan,7,cs,,,DEC,Scott Hovan,6,Penn State,5,Pittsburgh,158,158,1992
Mike Schyck,Tom Ryan,Mike Schyck,4,Tom Ryan,7,cs,,,DEC,Tom Ryan,8,Ohio State,2,Iowa,158,158,1992
Tom Ryan,Scott Hovan,Tom Ryan,12,Scott Hovan,3,m3,,,MD,Tom Ryan,2,Iowa,5,Pittsburgh,158,158,1992
Mike Schyck,Tim Wittman,Mike Schyck,8,Tim Wittman,2,m5,,,DEC,Mike Schyck,8,Ohio State,6,Penn State,158,158,1992
Mike Marzetta,Howard Langford,Mike Marzetta,-3,Howard Langford,-4,m7,,,DFT,Mike Marzetta,7,Minnesota,4,Tennessee-Chattanooga,158,158,1992
Scott Henry,Scott Petche,Scott Henry,11,Scott Petche,4,p1,,,DEC,Scott Henry,,Clarion,,Indiana,158,158,1992
Pat Smith,T.C. Dantzler,Pat Smith,25,T.C. Dantzler,9,p1,,6:05,TF,Pat Smith,1,Oklahoma State,,Northern Illinois,158,158,1992
T.C. Dantzler,Lou Cerchio,T.C. Dantzler,10,Lou Cerchio,4,cp1,,,DEC,T.C. Dantzler,,Northern Illinois,,Seton Hall,158,158,1992
Dave Myers,Anthony DeFlumeri,Dave Myers,-1,Anthony DeFlumeri,-2,r32,,1:39,F,Dave Myers,12,Wyoming,,Seton Hall,167,167,1992
Ron Coffel,Todd Chesbro,Ron Coffel,6,Todd Chesbro,11,r32,,,DEC,Todd Chesbro,,Lock Haven,5,Oklahoma State,167,167,1992
Chris Kwortnik,Geoff Woodcock,Chris Kwortnik,6,Geoff Woodcock,3,r32,,,DEC,Chris Kwortnik,4,North Carolina State,,Illinois,167,167,1992
Eric Unger,Rohan Gardner,Eric Unger,6,Rohan Gardner,5,r32,,,DEC,Eric Unger,,Kent State,,Northwestern,167,167,1992
Jason Sexton,Roy Hall,Jason Sexton,3,Roy Hall,7,r32,,,DEC,Roy Hall,,Missouri,,Michigan State,167,167,1992
John Gardner,Steve Hamilton,John Gardner,16,Steve Hamilton,31,r32,,7:00,TF,Steve Hamilton,,Clemson,1,Iowa State,167,167,1992
Solomon Fleckman,Laszlo Molnar,Solomon Fleckman,4,Laszlo Molnar,2,r32,,,DEC,Solomon Fleckman,8,Lehigh,,Cal State-Fullerton,167,167,1992
Dave Onorato,Billy Kumprey,Dave Onorato,-2,Billy Kumprey,-1,r32,,3:57,F,Billy Kumprey,,West Virginia,9,Marquette,167,167,1992
Jason Spezzano,Trent Flack,Jason Spezzano,5,Trent Flack,21,r32,,4:07,TF,Trent Flack,,George Mason,10,Oregon State,167,167,1992
Mark Reiland,Sean Gibbs,Mark Reiland,-1,Sean Gibbs,-2,r32,,3:56,F,Mark Reiland,7,Iowa,,Pittsburgh,167,167,1992
Charlie Jones,Brian Malavar,Charlie Jones,2,Brian Malavar,0,r32,,,DEC,Charlie Jones,2,Purdue,,Cal State-Bakersfield,167,167,1992
Ken Herceg,Corey Creech,Ken Herceg,5,Corey Creech,3,r32,,,DEC,Ken Herceg,,Bucknell,,Appalachian State,167,167,1992
Chris Studer,Robert Edmonds,Chris Studer,11,Robert Edmonds,9,r32,,,DEC,Chris Studer,,Boston University,,Morgan State,167,167,1992
Jamie Cummings,Dave Hart,Jamie Cummings,0,Dave Hart,7,r32,,,DEC,Dave Hart,,Navy,3,Penn State,167,167,1992
John Harms,Tommy Robbins,John Harms,4,Tommy Robbins,2,r32,1,,DEC,John Harms,11,Wisconsin,,Nebraska,167,167,1992
Shane Camera,Jacob Garcia,Shane Camera,3,Jacob Garcia,5,r32,1,,DEC,Jacob Garcia,6,North Carolina,,Army,167,167,1992
Dave Myers,Todd Chesbro,Dave Myers,7,Todd Chesbro,11,r16,,,DEC,Todd Chesbro,12,Wyoming,5,Oklahoma State,167,167,1992
Chris Kwortnik,Eric Unger,Chris Kwortnik,9,Eric Unger,3,r16,,,DEC,Chris Kwortnik,4,North Carolina State,,Kent State,167,167,1992
Roy Hall,Steve Hamilton,Roy Hall,-2,Steve Hamilton,-1,r16,,3:48,F,Steve Hamilton,,Michigan State,1,Iowa State,167,167,1992
Solomon Fleckman,Billy Kumprey,Solomon Fleckman,-2,Billy Kumprey,-1,r16,,4:33,F,Billy Kumprey,8,Lehigh,9,Marquette,167,167,1992
Trent Flack,Mark Reiland,Trent Flack,3,Mark Reiland,16,r16,,,MD,Mark Reiland,10,Oregon State,7,Iowa,167,167,1992
Charlie Jones,Ken Herceg,Charlie Jones,14,Ken Herceg,3,r16,,,MD,Charlie Jones,2,Purdue,,Bucknell,167,167,1992
Chris Studer,Dave Hart,Chris Studer,3,Dave Hart,7,r16,,,DEC,Dave Hart,,Boston University,3,Penn State,167,167,1992
John Harms,Jacob Garcia,John Harms,4,Jacob Garcia,6,r16,,,DEC,Jacob Garcia,11,Wisconsin,,Army,167,167,1992
Todd Chesbro,Chris Kwortnik,Todd Chesbro,5,Chris Kwortnik,1,r8,,,DEC,Todd Chesbro,5,Oklahoma State,4,North Carolina State,167,167,1992
Steve Hamilton,Billy Kumprey,Steve Hamilton,5,Billy Kumprey,2,r8,,,DEC,Steve Hamilton,1,Iowa State,9,Marquette,167,167,1992
Mark Reiland,Charlie Jones,Mark Reiland,4,Charlie Jones,10,r8,,,DEC,Charlie Jones,7,Iowa,2,Purdue,167,167,1992
Dave Hart,Jacob Garcia,Dave Hart,9,Jacob Garcia,0,r8,,,MD,Dave Hart,3,Penn State,,Army,167,167,1992
Todd Chesbro,Steve Hamilton,Todd Chesbro,4,Steve Hamilton,2,r4,,,DEC,Todd Chesbro,5,Oklahoma State,1,Iowa State,167,167,1992
Charlie Jones,Dave Hart,Charlie Jones,6,Dave Hart,4,r4,1,,DEC,Charlie Jones,2,Purdue,3,Penn State,167,167,1992
Charlie Jones,Todd Chesbro,Charlie Jones,6,Todd Chesbro,5,m1,,,DEC,Charlie Jones,2,Purdue,5,Oklahoma State,167,167,1992
Ron Coffel,Dave Myers,Ron Coffel,1,Dave Myers,3,c1,,,DEC,Dave Myers,,Lock Haven,12,Wyoming,167,167,1992
Geoff Woodcock,Eric Unger,Geoff Woodcock,5,Eric Unger,7,c1,,,DEC,Eric Unger,,Illinois,,Kent State,167,167,1992
John Gardner,Roy Hall,John Gardner,4,Roy Hall,6,c1,,,DEC,Roy Hall,,Clemson,,Michigan State,167,167,1992
Dave Onorato,Solomon Fleckman,Dave Onorato,3,Solomon Fleckman,5,c1,,,DEC,Solomon Fleckman,,West Virginia,8,Lehigh,167,167,1992
Sean Gibbs,Trent Flack,Sean Gibbs,-2,Trent Flack,-1,c1,,1:05,F,Trent Flack,,Pittsburgh,10,Oregon State,167,167,1992
Brian Malavar,Ken Herceg,Brian Malavar,13,Ken Herceg,6,c1,,,DEC,Brian Malavar,,Cal State-Bakersfield,,Bucknell,167,167,1992
Jamie Cummings,Chris Studer,Jamie Cummings,3,Chris Studer,2,c1,,,DEC,Jamie Cummings,,Navy,,Boston University,167,167,1992
Shane Camera,John Harms,Shane Camera,3,John Harms,4,c1,,,DEC,John Harms,6,North Carolina,11,Wisconsin,167,167,1992
Dave Myers,Eric Unger,Dave Myers,9,Eric Unger,7,c2,,,DEC,Dave Myers,12,Wyoming,,Kent State,167,167,1992
Roy Hall,Solomon Fleckman,Roy Hall,3,Solomon Fleckman,5,c2,,,DEC,Solomon Fleckman,,Michigan State,8,Lehigh,167,167,1992
Trent Flack,Brian Malavar,Trent Flack,8,Brian Malavar,5,c2,,,DEC,Trent Flack,10,Oregon State,,Cal State-Bakersfield,167,167,1992
Jamie Cummings,John Harms,Jamie Cummings,3,John Harms,1,c2,,,DEC,Jamie Cummings,,Navy,11,Wisconsin,167,167,1992
Dave Myers,Jacob Garcia,Dave Myers,8,Jacob Garcia,2,br,,,DEC,Dave Myers,12,Wyoming,,Army,167,167,1992
Solomon Fleckman,Mark Reiland,Solomon Fleckman,5,Mark Reiland,3,br,,,DEC,Solomon Fleckman,8,Lehigh,7,Iowa,167,167,1992
Trent Flack,Billy Kumprey,Trent Flack,10,Billy Kumprey,9,br,,,DEC,Trent Flack,10,Oregon State,9,Marquette,167,167,1992
Jamie Cummings,Chris Kwortnik,Jamie Cummings,1,Chris Kwortnik,10,br,,,MD,Chris Kwortnik,,Navy,4,North Carolina State,167,167,1992
Dave Myers,Solomon Fleckman,Dave Myers,3,Solomon Fleckman,9,c4,,,DEC,Solomon Fleckman,12,Wyoming,8,Lehigh,167,167,1992
Trent Flack,Chris Kwortnik,Trent Flack,8,Chris Kwortnik,6,c4,1,,DEC,Trent Flack,10,Oregon State,4,North Carolina State,167,167,1992
Solomon Fleckman,Steve Hamilton,Solomon Fleckman,5,Steve Hamilton,7,cs,1,,DEC,Steve Hamilton,8,Lehigh,1,Iowa State,167,167,1992
Trent Flack,Dave Hart,Trent Flack,2,Dave Hart,12,cs,,,MD,Dave Hart,10,Oregon State,3,Penn State,167,167,1992
Steve Hamilton,Dave Hart,Steve Hamilton,5,Dave Hart,3,m3,,,DEC,Steve Hamilton,1,Iowa State,3,Penn State,167,167,1992
Solomon Fleckman,Trent Flack,Solomon Fleckman,-1,Trent Flack,-2,m5,,2:21,F,Solomon Fleckman,8,Lehigh,10,Oregon State,167,167,1992
Chris Kwortnik,Dave Myers,Chris Kwortnik,5,Dave Myers,2,m7,,,DEC,Chris Kwortnik,4,North Carolina State,12,Wyoming,167,167,1992
Corey Olson,Ethan Bosch,Corey Olson,-1,Ethan Bosch,-2,r32,,3:23,F,Corey Olson,5,Nebraska,,Syracuse,177,177,1992
Dean Morrison,Tac Thomas,Dean Morrison,17,Tac Thomas,5,r32,,,MD,Dean Morrison,12,West Virginia,,Millersville,177,177,1992
Mark Frushone,J.J. McGrew,Mark Frushone,-2,J.J. McGrew,-1,r32,,0:18,F,J.J. McGrew,,Central Connecticut,,Notre Dame,177,177,1992
Bret Gustafson,Kyle Scrimgeour,Bret Gustafson,-1,Kyle Scrimgeour,-2,r32,,1:26,F,Bret Gustafson,4,Tennessee-Chattanooga,,Oklahoma,177,177,1992
Matt Kreider,Rick Evans,Matt Kreider,6,Rick Evans,13,r32,,,DEC,Rick Evans,,Bloomsburg,,Brigham Young,177,177,1992
Rich Powers,Dwayne Buth,Rich Powers,2,Dwayne Buth,18,r32,,6:31,TF,Dwayne Buth,1,Northern Iowa,,Cal State-Fullerton,177,177,1992
Lanny Green,Paul Jackson,Lanny Green,15,Paul Jackson,5,r32,,,MD,Lanny Green,8,Michigan,,Boise State,177,177,1992
Kyle Rackley,Eric Schwartz,Kyle Rackley,8,Eric Schwartz,4,r32,,,DEC,Kyle Rackley,9,Cornell,,Cal Poly-SLO,177,177,1992
Matt Johnson,Mike Griswold,Matt Johnson,3,Mike Griswold,2,r32,,,DEC,Matt Johnson,2,Iowa State,,Wisconsin,177,177,1992
Aaron Bruce,Matt White,Aaron Bruce,7,Matt White,10,r32,,,DEC,Matt White,,Liberty,,Penn State,177,177,1992
Steve Williams,Ken Bauer,Steve Williams,2,Ken Bauer,1,r32,1,,DEC,Steve Williams,10,North Carolina State,,Edinboro,177,177,1992
Kevin Vogel,Roger Williams,Kevin Vogel,5,Roger Williams,7,r32,,,DEC,Roger Williams,7,Central Michigan,,Northwestern,177,177,1992
Kevin Randleman,Keith Turner,Kevin Randleman,-1,Keith Turner,-2,r32,,1:00,F,Kevin Randleman,3,Ohio State,,Clemson,177,177,1992
Stan Banks,Travis Gittins,Stan Banks,9,Travis Gittins,18,r32,,,MD,Travis Gittins,,North Carolina,,Oklahoma State,177,177,1992
Bart Chelesvig,Quincey Clark,Bart Chelesvig,20,Quincey Clark,5,r32,,6:28,TF,Bart Chelesvig,6,Iowa,,San Diego State,177,177,1992
Bye,Greg Casamento,Bye,-4,Greg Casamento,-3,r32,,,DFT,Greg Casamento,,Bye,11,Boston University,177,177,1992
Corey Olson,Dean Morrison,Corey Olson,-1,Dean Morrison,-2,r16,,6:25,F,Corey Olson,5,Nebraska,12,West Virginia,177,177,1992
J.J. McGrew,Bret Gustafson,J.J. McGrew,4,Bret Gustafson,3,r16,,,DEC,J.J. McGrew,,Notre Dame,4,Tennessee-Chattanooga,177,177,1992
Rick Evans,Rich Powers,Rick Evans,3,Rich Powers,13,r16,,,MD,Rich Powers,,Brigham Young,1,Northern Iowa,177,177,1992
Lanny Green,Kyle Rackley,Lanny Green,6,Kyle Rackley,0,r16,,,DEC,Lanny Green,8,Michigan,9,Cornell,177,177,1992
Matt Johnson,Matt White,Matt Johnson,1,Matt White,2,r16,1,,DEC,Matt White,2,Iowa State,,Penn State,177,177,1992
Steve Williams,Roger Williams,Steve Williams,19,Roger Williams,4,r16,,7:00,TF,Steve Williams,10,North Carolina State,,Northwestern,177,177,1992
Kevin Randleman,Travis Gittins,Kevin Randleman,-1,Travis Gittins,-2,r16,,0:42,F,Kevin Randleman,3,Ohio State,,Oklahoma State,177,177,1992
Bart Chelesvig,Greg Casamento,Bart Chelesvig,8,Greg Casamento,3,r16,,,DEC,Bart Chelesvig,6,Iowa,11,Boston University,177,177,1992
Corey Olson,J.J. McGrew,Corey Olson,-1,J.J. McGrew,-2,r8,,1:51,F,Corey Olson,5,Nebraska,,Notre Dame,177,177,1992
Rich Powers,Lanny Green,Rich Powers,13,Lanny Green,7,r8,,,DEC,Rich Powers,1,Northern Iowa,8,Michigan,177,177,1992
Matt White,Steve Williams,Matt White,6,Steve Williams,13,r8,,,DEC,Steve Williams,,Penn State,10,North Carolina State,177,177,1992
Kevin Randleman,Bart Chelesvig,Kevin Randleman,3,Bart Chelesvig,2,r8,,,DEC,Kevin Randleman,3,Ohio State,6,Iowa,177,177,1992
Corey Olson,Rich Powers,Corey Olson,18,Rich Powers,8,r4,,,MD,Corey Olson,5,Nebraska,1,Northern Iowa,177,177,1992
Steve Williams,Kevin Randleman,Steve Williams,2,Kevin Randleman,4,r4,1,,DEC,Kevin Randleman,10,North Carolina State,3,Ohio State,177,177,1992
Kevin Randleman,Corey Olson,Kevin Randleman,-1,Corey Olson,-2,m1,,3:39,F,Kevin Randleman,3,Ohio State,5,Nebraska,177,177,1992
Ethan Bosch,Dean Morrison,Ethan Bosch,-2,Dean Morrison,-1,c1,,5:01,F,Dean Morrison,,Syracuse,12,West Virginia,177,177,1992
Mark Frushone,Bret Gustafson,Mark Frushone,5,Bret Gustafson,3,c1,,,DEC,Mark Frushone,,Central Connecticut,4,Tennessee-Chattanooga,177,177,1992
Dwayne Buth,Rick Evans,Dwayne Buth,10,Rick Evans,6,c1,,,DEC,Dwayne Buth,,Cal State-Fullerton,,Brigham Young,177,177,1992
Paul Jackson,Kyle Rackley,Paul Jackson,11,Kyle Rackley,14,c1,,,DEC,Kyle Rackley,,Boise State,9,Cornell,177,177,1992
Aaron Bruce,Matt Johnson,Aaron Bruce,5,Matt Johnson,6,c1,,,DEC,Matt Johnson,,Liberty,2,Iowa State,177,177,1992
Ken Bauer,Roger Williams,Ken Bauer,4,Roger Williams,6,c1,1,,DEC,Roger Williams,,Edinboro,,Northwestern,177,177,1992
Keith Turner,Travis Gittins,Keith Turner,1,Travis Gittins,4,c1,,,DEC,Travis Gittins,,Clemson,,Oklahoma State,177,177,1992
Quincey Clark,Greg Casamento,Quincey Clark,7,Greg Casamento,3,c1,,,DEC,Quincey Clark,,San Diego State,11,Boston University,177,177,1992
Dean Morrison,Mark Frushone,Dean Morrison,1,Mark Frushone,2,c2,,,DEC,Mark Frushone,12,West Virginia,,Central Connecticut,177,177,1992
Dwayne Buth,Kyle Rackley,Dwayne Buth,3,Kyle Rackley,10,c2,,,DEC,Kyle Rackley,,Cal State-Fullerton,9,Cornell,177,177,1992
Matt Johnson,Roger Williams,Matt Johnson,12,Roger Williams,4,c2,,,MD,Matt Johnson,2,Iowa State,,Northwestern,177,177,1992
Travis Gittins,Quincey Clark,Travis Gittins,-2,Quincey Clark,-1,c2,,4:47,F,Quincey Clark,,Oklahoma State,,San Diego State,177,177,1992
Mark Frushone,Bart Chelesvig,Mark Frushone,4,Bart Chelesvig,10,br,,,DEC,Bart Chelesvig,,Central Connecticut,6,Iowa,177,177,1992
Kyle Rackley,Matt White,Kyle Rackley,1,Matt White,7,br,,,DEC,Matt White,9,Cornell,,Penn State,177,177,1992
Matt Johnson,Lanny Green,Matt Johnson,3,Lanny Green,2,br,,,DEC,Matt Johnson,2,Iowa State,8,Michigan,177,177,1992
Quincey Clark,J.J. McGrew,Quincey Clark,6,J.J. McGrew,5,br,,,DEC,Quincey Clark,,San Diego State,,Notre Dame,177,177,1992
Bart Chelesvig,Matt White,Bart Chelesvig,13,Matt White,1,c4,,,MD,Bart Chelesvig,6,Iowa,,Penn State,177,177,1992
Matt Johnson,Quincey Clark,Matt Johnson,5,Quincey Clark,4,c4,,,DEC,Matt Johnson,2,Iowa State,,San Diego State,177,177,1992
Bart Chelesvig,Rich Powers,Bart Chelesvig,13,Rich Powers,5,cs,,,MD,Bart Chelesvig,6,Iowa,1,Northern Iowa,177,177,1992
Matt Johnson,Steve Williams,Matt Johnson,6,Steve Williams,1,cs,,,DEC,Matt Johnson,2,Iowa State,10,North Carolina State,177,177,1992
Bart Chelesvig,Matt Johnson,Bart Chelesvig,7,Matt Johnson,5,m3,1,,DEC,Bart Chelesvig,6,Iowa,2,Iowa State,177,177,1992
Rich Powers,Steve Williams,Rich Powers,-1,Steve Williams,-2,m5,,1:33,F,Rich Powers,1,Northern Iowa,10,North Carolina State,177,177,1992
Quincey Clark,Matt White,Quincey Clark,10,Matt White,2,m7,,,MD,Quincey Clark,,San Diego State,,Penn State,177,177,1992
Tyrone Howard,Warren Osbourn,Tyrone Howard,3,Warren Osbourn,1,r32,,,DEC,Tyrone Howard,,Bloomsburg,,Tennessee-Chattanooga,190,190,1992
Mark Kerr,Jeff Walter,Mark Kerr,7,Jeff Walter,2,r32,,,DEC,Mark Kerr,4,Syracuse,,Wisconsin,190,190,1992
Andy Foster,Scott Williams,Andy Foster,6,Scott Williams,3,r32,,,DEC,Andy Foster,12,Oklahoma,,Clemson,190,190,1992
Jeff Monson,Chris Nelson,Jeff Monson,7,Chris Nelson,9,r32,,,DEC,Chris Nelson,,Oregon State,5,Nebraska,190,190,1992
Dave Malecek,Jeff Kloiber,Dave Malecek,7,Jeff Kloiber,4,r32,,,DEC,Dave Malecek,8,Northern Iowa,,Pittsburgh,190,190,1992
Tom Storey,Bob Ferraro,Tom Storey,5,Bob Ferraro,4,r32,,,DEC,Tom Storey,,Navy,9,Bucknell,190,190,1992
Ray Baldwin,Rex Holman,Ray Baldwin,3,Rex Holman,15,r32,,,MD,Rex Holman,,Slippery Rock,1,Ohio State,190,190,1992
Ian Hearn,Mark Graham,Ian Hearn,3,Mark Graham,7,r32,,,DEC,Mark Graham,,Central Michigan,,Stanford,190,190,1992
T.J. Wright,Matt Case,T.J. Wright,5,Matt Case,8,r32,,,DEC,Matt Case,,Army,10,Northwestern,190,190,1992
John Curtis,Jassen Froehlich,John Curtis,4,Jassen Froehlich,2,r32,,,DEC,John Curtis,7,George Mason,,Cal State-Bakersfield,190,190,1992
John Harrison,Randy Couture,John Harrison,6,Randy Couture,7,r32,,,DEC,Randy Couture,,Air Force,2,Oklahoma State,190,190,1992
Todd Hartung,Jehad Hamdan,Todd Hartung,10,Jehad Hamdan,7,r32,,,DEC,Todd Hartung,,North Carolina,,Michigan,190,190,1992
Stan Gress,Travis Fiser,Stan Gress,5,Travis Fiser,10,r32,,,DEC,Travis Fiser,,Eastern Illinois,3,Iowa,190,190,1992
Dan Madson,Dale Budd,Dan Madson,4,Dale Budd,15,r32,,,MD,Dale Budd,,North Carolina State,,Lock Haven,190,190,1992
Scott Myers,Dan Troupe,Scott Myers,1,Dan Troupe,7,r32,,,DEC,Dan Troupe,,Oregon,11,Iowa State,190,190,1992
Chris Meaux,Adam Mariano,Chris Meaux,3,Adam Mariano,7,r32,,,DEC,Adam Mariano,,Boston University,6,Penn State,190,190,1992
Tyrone Howard,Mark Kerr,Tyrone Howard,2,Mark Kerr,9,r16,,,DEC,Mark Kerr,,Bloomsburg,4,Syracuse,190,190,1992
Andy Foster,Chris Nelson,Andy Foster,7,Chris Nelson,5,r16,,,DEC,Andy Foster,12,Oklahoma,5,Nebraska,190,190,1992
Dave Malecek,Tom Storey,Dave Malecek,3,Tom Storey,4,r16,,,DEC,Tom Storey,8,Northern Iowa,,Navy,190,190,1992
Rex Holman,Mark Graham,Rex Holman,-1,Mark Graham,-2,r16,,5:37,F,Rex Holman,1,Ohio State,,Stanford,190,190,1992
Matt Case,John Curtis,Matt Case,0,John Curtis,2,r16,,,DEC,John Curtis,10,Northwestern,7,George Mason,190,190,1992
Randy Couture,Todd Hartung,Randy Couture,7,Todd Hartung,2,r16,,,DEC,Randy Couture,2,Oklahoma State,,North Carolina,190,190,1992
Travis Fiser,Dale Budd,Travis Fiser,5,Dale Budd,1,r16,,,DEC,Travis Fiser,3,Iowa,,Lock Haven,190,190,1992
Dan Troupe,Adam Mariano,Dan Troupe,2,Adam Mariano,3,r16,,,DEC,Adam Mariano,11,Iowa State,6,Penn State,190,190,1992
Mark Kerr,Andy Foster,Mark Kerr,5,Andy Foster,1,r8,,,DEC,Mark Kerr,4,Syracuse,12,Oklahoma,190,190,1992
Tom Storey,Rex Holman,Tom Storey,4,Rex Holman,12,r8,,,MD,Rex Holman,,Navy,1,Ohio State,190,190,1992
John Curtis,Randy Couture,John Curtis,4,Randy Couture,12,r8,,,MD,Randy Couture,7,George Mason,2,Oklahoma State,190,190,1992
Travis Fiser,Adam Mariano,Travis Fiser,-1,Adam Mariano,-2,r8,1,9:18,F,Travis Fiser,3,Iowa,6,Penn State,190,190,1992
Mark Kerr,Rex Holman,Mark Kerr,10,Rex Holman,6,r4,,,DEC,Mark Kerr,4,Syracuse,1,Ohio State,190,190,1992
Randy Couture,Travis Fiser,Randy Couture,7,Travis Fiser,1,r4,,,DEC,Randy Couture,2,Oklahoma State,3,Iowa,190,190,1992
Mark Kerr,Randy Couture,Mark Kerr,12,Randy Couture,4,m1,,,MD,Mark Kerr,4,Syracuse,2,Oklahoma State,190,190,1992
Jeff Walter,Tyrone Howard,Jeff Walter,4,Tyrone Howard,1,c1,,,DEC,Jeff Walter,,Wisconsin,,Bloomsburg,190,190,1992
Scott Williams,Chris Nelson,Scott Williams,-2,Chris Nelson,-1,c1,,4:27,F,Chris Nelson,,Clemson,5,Nebraska,190,190,1992
Bob Ferraro,Dave Malecek,Bob Ferraro,0,Dave Malecek,5,c1,,,DEC,Dave Malecek,9,Bucknell,8,Northern Iowa,190,190,1992
Ray Baldwin,Mark Graham,Ray Baldwin,4,Mark Graham,5,c1,,,DEC,Mark Graham,,Slippery Rock,,Stanford,190,190,1992
Jassen Froehlich,Matt Case,Jassen Froehlich,5,Matt Case,8,c1,,,DEC,Matt Case,,Cal State-Bakersfield,10,Northwestern,190,190,1992
John Harrison,Todd Hartung,John Harrison,1,Todd Hartung,4,c1,,,DEC,Todd Hartung,,Air Force,,North Carolina,190,190,1992
Stan Gress,Dale Budd,Stan Gress,1,Dale Budd,5,c1,,,DEC,Dale Budd,,Eastern Illinois,,Lock Haven,190,190,1992
Chris Meaux,Dan Troupe,Chris Meaux,2,Dan Troupe,12,c1,,,MD,Dan Troupe,,Boston University,11,Iowa State,190,190,1992
Tyrone Howard,Chris Nelson,Tyrone Howard,3,Chris Nelson,5,c2,,,DEC,Chris Nelson,,Bloomsburg,5,Nebraska,190,190,1992
Dave Malecek,Mark Graham,Dave Malecek,5,Mark Graham,4,c2,,,DEC,Dave Malecek,8,Northern Iowa,,Stanford,190,190,1992
Matt Case,Todd Hartung,Matt Case,11,Todd Hartung,3,c2,,,MD,Matt Case,10,Northwestern,,North Carolina,190,190,1992
Dale Budd,Dan Troupe,Dale Budd,2,Dan Troupe,3,c2,,,DEC,Dan Troupe,,Lock Haven,11,Iowa State,190,190,1992
Chris Nelson,Adam Mariano,Chris Nelson,13,Adam Mariano,7,br,,,DEC,Chris Nelson,5,Nebraska,6,Penn State,190,190,1992
